commander,drawrate (%),winrate (%),lossrate (%),non_draw_winrate (%),#games
"Teferi, Temporal Archmage",13.85,24.62,61.54,28.57,65
The First Sliver,10.94,18.75,70.31,21.05,64
"Esika, God of the Tree // The Prismatic Bridge",3.23,29.03,67.74,30.00,62
"Florian, Voldaren Scion",6.67,28.33,65.00,30.36,60
Slimefoot and Squee,6.67,16.67,76.67,17.86,60
Kodama of the East Tree / Sakashima of a Thousand Faces,10.34,31.03,58.62,34.62,58
"Brallin, Skyshark Rider / Shabraz, the Skyshark",14.04,14.04,71.93,16.33,57
"Orvar, the All-Form",14.04,15.79,70.18,18.37,57
"Rielle, the Everwise",19.23,28.85,51.92,35.71,52
"Ishai, Ojutai Dragonspeaker / Tevesh Szat, Doom of Fools",10.00,22.00,68.00,24.44,50
"Krenko, Mob Boss",2.00,16.00,82.00,16.33,50
Kaalia of the Vast,8.00,18.00,74.00,19.57,50
"Cazur, Ruthless Stalker / Ukkima, Stalking Shadow",14.00,8.00,78.00,9.30,50
"Rowan, Scion of War",4.17,8.33,87.50,8.70,48
"Zirda, the Dawnwaker",10.64,23.40,65.96,26.19,47
"Codie, Vociferous Codex",8.51,17.02,74.47,18.60,47
Kroxa and Kunoros,4.35,15.22,80.43,15.91,46
"Yeva, Nature's Herald",8.89,31.11,60.00,34.15,45
"Aesi, Tyrant of Gyre Strait",8.89,22.22,68.89,24.39,45
"Chulane, Teller of Tales",6.82,11.36,81.82,12.20,44
Ellivere of the Wild Court,18.60,16.28,65.12,20.00,43
"Ashaya, Soul of the Wild",13.95,18.60,67.44,21.62,43
"Rionya, Fire Dancer",13.95,20.93,65.12,24.32,43
Anje Falkenrath,7.14,16.67,76.19,17.95,42
"Rograkh, Son of Rohgahh / Tymna the Weaver",9.52,35.71,54.76,39.47,42
"Koll, the Forgemaster",4.76,28.57,66.67,30.00,42
"Jenson Carthalion, Druid Exile",12.82,20.51,66.67,23.53,39
"Kraum, Ludevic's Opus / Thrasios, Triton Hero",17.95,17.95,64.10,21.88,39
"Jeska, Thrice Reborn / Thrasios, Triton Hero",23.68,15.79,60.53,20.69,38
Oswald Fiddlebender,16.22,13.51,70.27,16.13,37
"Akiri, Line-Slinger / Thrasios, Triton Hero",16.67,25.00,58.33,30.00,36
"Bruse Tarl, Boorish Herder / Malcolm, Keen-Eyed Navigator",13.89,13.89,72.22,16.13,36
"Gyruda, Doom of Depths",20.00,17.14,62.86,21.43,35
"Prossh, Skyraider of Kher",22.86,25.71,51.43,33.33,35
"Tatyova, Benthic Druid",25.71,37.14,37.14,50.00,35
"Ruric Thar, the Unbowed",20.59,5.88,73.53,7.41,34
"Aragorn, the Uniter",8.82,8.82,82.35,9.68,34
"Teshar, Ancestor's Apostle",12.12,12.12,75.76,13.79,33
"Hinata, Dawn-Crowned",27.27,9.09,63.64,12.50,33
"Emry, Lurker of the Loch",9.09,15.15,75.76,16.67,33
"Nymris, Oona's Trickster",18.18,30.30,51.52,37.04,33
"Marath, Will of the Wild",15.15,24.24,60.61,28.57,33
"Chatterfang, Squirrel General",6.06,12.12,81.82,12.90,33
"Ghyrson Starn, Kelermorph",18.18,33.33,48.48,40.74,33
"Varragoth, Bloodsky Sire",12.50,37.50,50.00,42.86,32
"Tameshi, Reality Architect",21.88,25.00,53.12,32.00,32
"Braids, Arisen Nightmare",9.38,18.75,71.88,20.69,32
"Yasharn, Implacable Earth",12.50,6.25,81.25,7.14,32
"Krark, the Thumbless / Silas Renn, Seeker Adept",18.75,28.12,53.12,34.62,32
"Vadrik, Astral Archmage",29.03,16.13,54.84,22.73,31
Meren of Clan Nel Toth,3.45,13.79,82.76,14.29,29
"Yawgmoth, Thran Physician",10.34,6.90,82.76,7.69,29
"Dina, Soul Steeper",6.90,10.34,82.76,11.11,29
"Hapatra, Vizier of Poisons",3.45,24.14,72.41,25.00,29
"Eruth, Tormented Prophet",3.45,6.90,89.66,7.14,29
"Daretti, Scrap Savant",10.71,25.00,64.29,28.00,28
"Nekusar, the Mindrazer",7.14,10.71,82.14,11.54,28
"Dargo, the Shipwrecker / Tevesh Szat, Doom of Fools",10.71,21.43,67.86,24.00,28
"Yidris, Maelstrom Wielder",7.14,14.29,78.57,15.38,28
"Grist, the Hunger Tide",7.41,22.22,70.37,24.00,27
"Thrasios, Triton Hero / Yoshimaru, Ever Faithful",18.52,22.22,59.26,27.27,27
"Ishai, Ojutai Dragonspeaker / Thrasios, Triton Hero",22.22,22.22,55.56,28.57,27
"Kraum, Ludevic's Opus / Malcolm, Keen-Eyed Navigator",14.81,18.52,66.67,21.74,27
"Kalamax, the Stormsire",29.63,7.41,62.96,10.53,27
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",3.70,18.52,77.78,19.23,27
"Erinis, Gloom Stalker / Street Urchin",29.63,29.63,40.74,42.11,27
"Dargo, the Shipwrecker / Silas Renn, Seeker Adept",3.70,22.22,74.07,23.08,27
Grand Arbiter Augustin IV,25.93,3.70,70.37,5.00,27
"Jodah, the Unifier",7.69,3.85,88.46,4.17,26
"Ikra Shidiqi, the Usurper / Tymna the Weaver",36.00,16.00,48.00,25.00,25
"Toxrill, the Corrosive",4.00,12.00,84.00,12.50,25
Sefris of the Hidden Ways,16.00,28.00,56.00,33.33,25
"Kamahl, Heart of Krosa / Tymna the Weaver",25.00,8.33,66.67,11.11,24
The Scarab God,4.17,20.83,75.00,21.74,24
"Tadeas, Juniper Ascendant",20.83,8.33,70.83,10.53,24
"Azami, Lady of Scrolls",20.83,12.50,66.67,15.79,24
"Jhoira, Ageless Innovator",16.67,12.50,70.83,15.00,24
"Kozilek, the Great Distortion",0.00,20.83,79.17,20.83,24
"Kykar, Wind's Fury",4.17,12.50,83.33,13.04,24
"Ao, the Dawn Sky",20.83,12.50,66.67,15.79,24
"Lonis, Cryptozoologist",8.70,13.04,78.26,14.29,23
Scion of the Ur-Dragon,21.74,21.74,56.52,27.78,23
Mizzix of the Izmagnus,17.39,4.35,78.26,5.26,23
"Tana, the Bloodsower / Tevesh Szat, Doom of Fools",4.35,8.70,86.96,9.09,23
"Vohar, Vodalian Desecrator",4.35,17.39,78.26,18.18,23
"Oskar, Rubbish Reclaimer",13.64,22.73,63.64,26.32,22
"Ardenn, Intrepid Archaeologist / Kraum, Ludevic's Opus",22.73,18.18,59.09,23.53,22
"Tazri, Beacon of Unity",0.00,18.18,81.82,18.18,22
"Myrel, Shield of Argive",22.73,18.18,59.09,23.53,22
Saffi Eriksdotter,9.09,27.27,63.64,30.00,22
"Noble Heritage / Vhal, Candlekeep Researcher",14.29,14.29,71.43,16.67,21
"Cecily, Haunted Mage / Sophina, Spearsage Deserter",19.05,4.76,76.19,5.88,21
Borborygmos and Fblthp,14.29,9.52,76.19,11.11,21
Prime Speaker Vannifar,23.81,19.05,57.14,25.00,21
Arcum Dagsson,14.29,23.81,61.90,27.78,21
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",15.00,40.00,45.00,47.06,20
Hidetsugu and Kairi,5.26,15.79,78.95,16.67,19
"Adeline, Resplendent Cathar",0.00,21.05,78.95,21.05,19
Emiel the Blessed,10.53,21.05,68.42,23.53,19
"Selvala, Explorer Returned",16.67,16.67,66.67,20.00,18
"Grolnok, the Omnivore",5.56,11.11,83.33,11.76,18
Lord Windgrace,22.22,11.11,66.67,14.29,18
Hans Eriksson,5.56,38.89,55.56,41.18,18
"Tergrid, God of Fright // Tergrid's Lantern",16.67,11.11,72.22,13.33,18
"Tevesh Szat, Doom of Fools / Tymna the Weaver",22.22,5.56,72.22,7.14,18
"Jeska, Thrice Reborn / Yoshimaru, Ever Faithful",11.76,11.76,76.47,13.33,17
"Yennett, Cryptic Sovereign",18.75,12.50,68.75,15.38,16
Go-Shintai of Life's Origin,12.50,37.50,50.00,42.86,16
Magus Lucea Kane,18.75,12.50,68.75,15.38,16
"Gishath, Sun's Avatar",6.25,6.25,87.50,6.67,16
"Sheoldred, the Apocalypse",6.25,6.25,87.50,6.67,16
"Rigo, Streetwise Mentor",26.67,13.33,60.00,18.18,15
"Vaevictis Asmadi, the Dire",13.33,13.33,73.33,15.38,15
The Ur-Dragon,6.67,6.67,86.67,7.14,15
"Elesh Norn, Mother of Machines",20.00,20.00,60.00,25.00,15
"Akiri, Line-Slinger / Tevesh Szat, Doom of Fools",28.57,7.14,64.29,10.00,14
"Wilhelt, the Rotcleaver",0.00,14.29,85.71,14.29,14
"Muldrotha, the Gravetide",14.29,14.29,71.43,16.67,14
"Thada Adel, Acquisitor",21.43,21.43,57.14,27.27,14
"Bruse Tarl, Boorish Herder / Tana, the Bloodsower",21.43,21.43,57.14,27.27,14
Sakashima of a Thousand Faces / Tymna the Weaver,7.14,14.29,78.57,15.38,14
"Zaxara, the Exemplary",7.14,7.14,85.71,7.69,14
Gandalf the White,0.00,7.69,92.31,7.69,13
Ratadrabik of Urborg,23.08,15.38,61.54,20.00,13
"Lazav, the Multifarious",23.08,7.69,69.23,10.00,13
"Purphoros, God of the Forge",7.69,7.69,84.62,8.33,13
